airlineIATA,destinationIATA,flightNumber,flightNature,flightTypeIATA,scheduleDate,scheduleHour,seatCapacity,sector,terminal,pax,loadFactor,warnings,Country,EU Status,CTA Status,AircraftSizeICAO,PaxLoadFactor,LocalPax,HasWarnings,LowLoadFactor,HighLoadFactor
FR,SOF,1731,A,J,2024-12-04,13:20:00,189,I,T1,187.28435532994922,0.9909225149732763,,BULGARIA,EU,NON CTA,C,0.9909225149732763,187.28435532994922,False,False,False
FR,BUD,2515,A,J,2024-12-04,13:25:00,189,I,T1,157.77599999999998,0.8347936507936508,Pax: Flight # has changed from 8200 to 2515,HUNGARY,EU,NON CTA,C,0.8347936507936508,157.77599999999998,True,False,False
FR,DUB,211,A,J,2024-12-04,13:25:00,189,I,T1,179.33513705583758,0.9488631590255956,Pax: Flight # has changed from 255 to 211,IRISH REPUBLIC,EU,CTA,C,0.9488631590255956,179.33513705583758,True,False,False
FR,VLC,642,A,J,2024-12-04,13:30:00,197,I,T1,170.99173544973544,0.8679783525367282,,SPAIN,EU,NON CTA,C,0.8679783525367282,170.99173544973544,False,False,False
FR,SKG,2568,A,J,2024-12-04,13:45:00,197,I,T1,200.94,1.02,,GREECE,EU,NON CTA,C,1.02,200.94,False,False,True
FR,GOT,965,A,J,2024-12-04,13:55:00,189,I,T1,182.7570207253886,0.9669683636263947,Pax: 2 flights have been used for reference,SWEDEN,EU,NON CTA,C,0.9669683636263947,182.7570207253886,True,False,False
FR,CPH,7381,A,J,2024-12-04,14:35:00,189,I,T1,170.61541586152364,0.9027270680503896,Pax: 3 flights have been used for reference,DENMARK,EU,NON CTA,C,0.9027270680503896,170.61541586152364,True,False,False
RK,BCN,8231,A,J,2024-12-04,14:40:00,189,I,T1,155.873,0.8247248677248676,Pax: 2 flights have been used for reference,SPAIN,EU,NON CTA,C,0.8247248677248676,155.873,True,False,False
RK,BJV,7057,A,J,2024-12-04,14:40:00,189,I,T1,155.873,0.8247248677248676,Pax: 2 flights have been used for reference,TURKEY,NON EU,NON CTA,C,0.8247248677248676,155.873,True,False,False
FR,EIN,5682,A,J,2024-12-04,14:45:00,189,I,T1,158.11848730964465,0.8366057529610829,Pax: Flight # has changed from 2538 to 5682,NETHERLANDS,EU,NON CTA,C,0.8366057529610829,158.11848730964465,True,False,False
PC,SAW,1165,A,J,2024-12-04,14:45:00,195,I,T1,152.48820465469882,0.7819907931010196,Pax: 4 flights have been used for reference,TURKEY,NON EU,NON CTA,C,0.7819907931010196,152.48820465469882,True,False,False
FR,ALC,2506,A,J,2024-12-04,14:45:00,189,I,T1,183.3879338029372,0.9703065280578688,Pax: 3 flights have been used for reference,SPAIN,EU,NON CTA,C,0.9703065280578688,183.3879338029372,True,False,False
VF,ESB,531,A,J,2024-12-04,14:50:00,197,I,T1,162.74702061087063,0.8261270081770082,Pax: Airline has changed from TK to VF; Pax: Flight # has changed from 5590 to 531; Pax: Flight load factor is 23.9 percentage points greater than reference flight load factor,TURKEY,NON EU,NON CTA,C,0.8261270081770082,162.74702061087063,True,False,False
VF,SAW,1989,A,J,2024-12-04,14:55:00,220,I,T1,163.02220961177412,0.7410100436898823,Pax: Airline has changed from TK to VF; Pax: Flight # has changed from 7820 to 1989,TURKEY,NON EU,NON CTA,C,0.7410100436898823,163.02220961177412,True,False,False
FR,ACE,251,A,J,2024-12-04,14:55:00,197,I,T1,173.80550264550268,0.8822614347487445,,SPAIN,EU,NON CTA,C,0.8822614347487445,173.80550264550268,False,False,False
FR,SZY,229,A,J,2024-12-04,14:55:00,189,I,T1,161.86485153746742,0.856427785912526,Pax: 28 flights have been used for reference,POLAND,EU,NON CTA,C,0.856427785912526,161.86485153746742,True,False,False
U2,BFS,41,A,J,2024-12-04,15:10:00,186,D,T1,154.30535384615385,0.829598676592225,,GREAT BRITAIN,DOMESTIC,DOMESTIC,C,0.829598676592225,154.30535384615385,False,False,False
FR,TAT,4717,A,J,2024-12-04,15:15:00,189,I,T1,29.56280203045685,0.15641694196008915,Pax: Flight load factor is 41.2 percentage points lower than reference flight load factor,SLOVAKIA,EU,NON CTA,C,0.15641694196008915,29.56280203045685,True,False,False
FR,NTE,8504,A,J,2024-12-04,15:35:00,197,I,T1,146.78638095238097,0.7451085327532029,,FRANCE,EU,NON CTA,C,0.7451085327532029,146.78638095238097,False,False,False
FR,CAG,2686,A,J,2024-12-04,15:40:00,189,I,T1,183.38,0.9702645502645503,,ITALY,EU,NON CTA,C,0.9702645502645503,183.38,False,False,False
FR,FUE,610,A,J,2024-12-04,15:45:00,189,I,T1,142.8786802030457,0.7559718529261676,,SPAIN,EU,NON CTA,C,0.7559718529261676,142.8786802030457,False,False,False
FR,CIA,2673,A,J,2024-12-04,16:00:00,197,I,T1,145.3950582010582,0.7380459807160314,Pax: Flight load factor is 20.9 percentage points lower than reference flight load factor,ITALY,EU,NON CTA,C,0.7380459807160314,145.3950582010582,True,False,False
FR,HAM,1517,A,J,2024-12-04,16:05:00,189,I,T1,162.62,0.8604232804232804,,GERMANY,EU,NON CTA,C,0.8604232804232804,162.62,False,False,False
FR,TFS,579,A,J,2024-12-04,16:10:00,189,I,T1,192.43395939086292,1.018169097306153,,SPAIN,EU,NON CTA,C,1.018169097306153,192.43395939086292,False,False,True
PC,SAW,1177,A,J,2024-12-04,16:10:00,240,I,T1,164.00095757329046,0.6833373232220435,Pax: 4 flights have been used for reference,TURKEY,NON EU,NON CTA,C,0.6833373232220435,164.00095757329046,True,False,False
FR,LPA,2843,A,J,2024-12-04,16:15:00,197,I,T1,156.993380952381,0.7969207154943198,Pax: 2 flights have been used for reference,SPAIN,EU,NON CTA,C,0.7969207154943198,156.993380952381,True,False,False
FR,PSA,587,A,J,2024-12-04,16:20:00,189,I,T1,170.23200000000003,0.9006984126984128,Pax: Flight # has changed from 585 to 587,ITALY,EU,NON CTA,C,0.9006984126984128,170.23200000000003,True,False,False
U2,EDI,315,A,J,2024-12-04,16:20:00,186,D,T1,189.26200000000003,1.0175376344086022,,GREAT BRITAIN,DOMESTIC,DOMESTIC,C,1.0175376344086022,189.26200000000003,False,False,True
FR,LDE,523,A,J,2024-12-04,16:45:00,189,I,T1,152.27373199102965,0.8056811216456595,Pax: 36 flights have been used for reference,FRANCE,EU,NON CTA,C,0.8056811216456595,152.27373199102965,True,False,False
FR,ALC,2587,A,J,2024-12-04,17:00:00,189,I,T1,175.82947208121828,0.930314667096393,,SPAIN,EU,NON CTA,C,0.930314667096393,175.82947208121828,False,False,False
FR,CTA,5058,A,J,2024-12-04,17:10:00,189,I,T1,170.57799999999997,0.9025291005291004,,ITALY,EU,NON CTA,C,0.9025291005291004,170.57799999999997,False,False,False
FR,AGP,8165,A,J,2024-12-04,17:10:00,197,I,T1,200.94,1.02,,SPAIN,EU,NON CTA,C,1.02,200.94,False,False,True
FR,SVQ,8364,A,J,2024-12-04,17:10:00,197,I,T1,179.2133544973545,0.909712459377434,Pax: Flight # has changed from 8362 to 8364,SPAIN,EU,NON CTA,C,0.909712459377434,179.2133544973545,True,False,False
RK,RAK,3557,A,J,2024-12-04,17:10:00,189,I,T1,160.19799999999998,0.8476084656084655,,MOROCCO,NON EU,NON CTA,C,0.8476084656084655,160.19799999999998,False,False,False
FR,TLL,2224,A,J,2024-12-04,17:15:00,189,I,T1,142.32367512690357,0.7530353181317648,,ESTONIA,EU,NON CTA,C,0.7530353181317648,142.32367512690357,False,False,False
FR,WMI,2282,A,J,2024-12-04,17:25:00,189,I,T1,173,0.9153439153439153,,POLAND,EU,NON CTA,C,0.9153439153439153,173,False,False,False
FR,SNN,92,A,J,2024-12-04,17:25:00,189,I,T1,156.78542131979694,0.8295524937555394,Pax: Flight load factor is 35.2 percentage points greater than reference flight load factor,IRISH REPUBLIC,EU,CTA,C,0.8295524937555394,156.78542131979694,True,False,False
FR,LCJ,2469,A,J,2024-12-04,17:30:00,189,I,T1,167.464,0.88605291005291,,POLAND,EU,NON CTA,C,0.88605291005291,167.464,False,False,False
FR,MRS,6542,A,J,2024-12-04,17:30:00,197,I,T1,159.40714285714287,0.8091733139956491,,FRANCE,EU,NON CTA,C,0.8091733139956491,159.40714285714287,False,False,False
LS,FUE,1452,A,J,2024-12-04,17:30:00,189,I,T1,147.742,0.7817037037037037,,SPAIN,EU,NON CTA,C,0.7817037037037037,147.742,False,False,False
FR,PRG,1375,A,J,2024-12-04,17:40:00,189,I,T1,175.422,0.9281587301587301,,CZECH REPUBLIC,EU,NON CTA,C,0.9281587301587301,175.422,False,False,False
LS,KAO,93C,A,P,2024-12-04,17:40:00,0,I,T1,0,0,,FINLAND,EU,NON CTA,C,0,0,False,True,False
EK,DXB,67,A,J,2024-12-04,17:45:00,442,I,T1,239.70220199327116,0.5423126741929212,,UNITED ARAB EMIRATES,NON EU,NON CTA,E,0.5423126741929212,239.70220199327116,False,False,False
FR,CIA,3003,A,J,2024-12-04,17:55:00,197,I,T1,126.4108253968254,0.6416793167351543,Pax: Flight load factor is 21.5 percentage points lower than reference flight load factor,ITALY,EU,NON CTA,C,0.6416793167351543,126.4108253968254,True,False,False
